map,brain,steps,sim_time,distance,mean_speed,coverage,best_goal_dist,reached_goal,collision_events,collisions,escapes,stalls,brain_ms_per_step,realtime_factor
track,fake,12000,120.0,57.640666542922354,0.4803388878576863,0.22545454545454546,-1,False,4,104,4,3,0.03845124990766635,44.385983172917975
maze,fake,12000,120.0,58.16640111001865,0.4847200092501554,0.19247787610619468,16,False,1,34,5,1,0.03834315837836281,45.967358349040325
maze_hard,fake,12000,120.0,57.605626132434196,0.48004688443695165,0.03854166666666667,87,False,4,103,8,3,0.03825107509328518,45.513086662236546
track,real,3000,60.0,53.512971428614804,0.8918828571435801,0.17454545454545456,-1,False,0,0,14,0,1.887093466706574,8.673143355745948
maze,real,3000,60.0,14.614274558138506,0.24357124263564175,0.028761061946902654,54,False,4,2120,27,3,1.694423833017936,9.475352271489848
maze_hard,real,3000,60.0,19.487529018583995,0.32479215030973324,0.009375,95,False,6,1802,47,5,1.6810691002271294,9.569776044255049
